scenario,team_profile,workload_profile,condition_profile,ai_support,completed_tasks_mean,completed_tasks_std,incomplete_tasks_mean,blocked_events_mean,blocked_days_mean,rework_events_mean,flow_efficiency_mean,capacity_utilization_mean,effective_morale_mean,event_count_mean
JLR-4D adaptado,Equipo distribuido,Alta dependencia,Alta fatiga de reuniones,IA alta,8.391666666666667,3.223334984761721,31.608333333333334,9.891666666666667,16.975,10.316666666666666,0.7790003112003239,1.0,0.6537499999999999,0.8625
JLR-4D adaptado,Equipo distribuido,Alta dependencia,Alta fatiga de reuniones,IA moderada,7.7,3.072621711844855,32.3,11.454166666666667,20.516666666666666,12.854166666666666,0.7695168262932736,1.0,0.6710833333333334,0.6166666666666667
JLR-4D adaptado,Equipo distribuido,Alta dependencia,Alta fatiga de reuniones,Sin IA,6.833333333333333,2.9510180736231977,33.166666666666664,13.066666666666666,25.054166666666667,14.725,0.7587811270784565,1.0,0.6720833333333333,0.7416666666666667
JLR-4D adaptado,Equipo distribuido,Alta dependencia,Backlog débil,IA alta,8.55,3.4950054022141765,31.45,11.470833333333333,18.308333333333334,11.383333333333333,0.7731908886032751,0.9998188405797102,0.6525,0.7541666666666667
JLR-4D adaptado,Equipo distribuido,Alta dependencia,Backlog débil,IA moderada,8.025,3.231545609965719,31.975,13.491666666666667,22.416666666666668,13.8375,0.7544059743857233,0.9999094202898551,0.6634166666666667,0.575
JLR-4D adaptado,Equipo distribuido,Alta dependencia,Backlog débil,Sin IA,6.391666666666667,2.86603492763358,33.608333333333334,16.308333333333334,29.120833333333334,16.45,0.7320357306971288,0.9999094202898551,0.653125,0.7791666666666667
JLR-4D adaptado,Equipo distribuido,Alta dependencia,Condición estándar,IA alta,10.158333333333333,3.2919219839897544,29.841666666666665,10.066666666666666,16.404166666666665,9.983333333333333,0.7910141607391163,1.0,0.675,0.6333333333333333
JLR-4D adaptado,Equipo distribuido,Alta dependencia,Condición estándar,IA moderada,8.633333333333333,2.9949283024739604,31.366666666666667,11.875,20.5,12.25,0.7792962687010612,1.0,0.6683749999999999,0.7333333333333333
JLR-4D adaptado,Equipo distribuido,Alta dependencia,Condición estándar,Sin IA,7.6625,3.210640325086435,32.3375,12.670833333333333,22.691666666666666,14.0,0.7592806511979358,1.0,0.6647083333333333,0.7
JLR-4D adaptado,Equipo distribuido,Alta dependencia,Condición favorable,IA alta,12.3375,3.7504044412307542,27.6625,8.725,12.020833333333334,8.583333333333334,0.8322030229812476,1.0,0.6680833333333334,0.6625
